text	type
投资有风险，理财需谨慎	0
网贷有风险，且行且珍惜	0
投资有风险，理财需谨慎	0
请版主删除该帖	
网贷有风险，且行且珍惜	0
网贷有风险，且行且珍惜	0
"曝光1个新骗子平台 新添利  假标,假投资额 日化高得吓人  就快过年了骗子又出来了，大家要小心"	1
黑子吧，你哪只眼睛看到人家是日化了！！！	
高息平台要谨慎	0
开业半年内的别碰	0
年底了跑路潮，说倒闭就倒闭，这种更不靠谱！钱还是拿在手里放心	1
投资排行榜居然都是整数！	0
人才来的.作假都不弄好一点.**平台	1
你不怕死有本事你去投呀.	1
高息平台要谨慎啊	0
"昨日笔者爆料还留了情面，念在你也是投资人，没有想到你们为了钱可以这样不要脸，反而威胁笔者，无知到这种程度笔者也是无语，你去店内买那叫做零售价，车商进车叫进货价，同行调货价贵一点，可怜用点混淆黑白的计量还能忽悠住某些人也是该雷。我就免费再为你做一次广告，好好讲一讲金百利的前世今生。
    这个证据是金百利自己挂出来，营业执照，金百利是济南江融网络科技有限公司旗下平台现在的法人叫刘践迪。该公司旗下还有一家P2P平台车酷网，那时候法人叫做孙新刚。
http://www.p2peye.com/thread-754835-1-1.html

http://www.p2peye.com/forum.php?mod=viewthread&tid=895959&extra=page%3D1&highlight=%B3%B5%BF%E1%CD%F8%D4%E7%D2%D1%CD%A3%D2%B5&page=1
    车酷网之前在P2P就有过前科（有兴趣可以深挖），并且改成帮他金百利车筹的是同一个系统商，这家系统商除了卖系统之外，大股东高某还参与平台运营抽成，这回也是这位高某拉着绿茶叶考察（多家都是他做的系统）高某每家都收着带运营费用，融资300万抽30万，抽满300万为止。据部分被考察平台爆料，绿茶叶一早就向多个平台提出，带资金提成合作方案（每月提成1-2%），部分平台没有同意，只有金百利同意了。金百利和绿茶叶一早就达成协议（发生撞标之前），融资170万，按照每月2%提成（170万给3.4万好处每月）。所以才有这个捷达2016的标。这5000公里二手不是6.8万收吗？你这样的车6.75一台，给你供，你敢提吗？"	1
"金绿茶叶监管平台金百利昨天发的2016款捷达标和其他3平台发生撞标(同款车，新车和二手价格基本一致)，而且这家金百利众筹二手车的收购价和新车售价收购价基本一致
因为捷达到处都有，所以笔者就到当地车市打探了一圈，各位可以在当地打听下价格。在我们这边同行调拨价格6.85万左右（拿的量不一样价格不一样）。你这5000公里的二手车想6.8万融资卖出7.3万？
  当然各地方同款车价格会有一些差距，但是和你同在济南的平台怎么就能拿到6.85万左右的新车？（这车款的二手车市场收购价应该在6万2，3。笔者看来这就不是超融，而是假融，这价格根本卖不出去，不是假还能是什么？）
  [url=http://www.jiayangzt.com/crowdinvest/25.html]http://www.jiayangzt.com/crowdinvest/25.html
[url=http://www.jinbailizc.com/crowdinvest/15.html]http://www.jinbailizc.com/crowdinvest/15.html
[url=http://www.gudazc.com/invest/68.html]http://www.gudazc.com/invest/68.html

[url=http://www.maqueqczc.com/crowdinvest/13.html]http://www.maqueqczc.com/crowdinvest/13.html


     金百利有一个合作车行叫顺丰车行，是当地一家大车行。车行的老板和金百利实际操控者应该是亲兄弟，也就是说金百利不可能不知道价钱有问题。这就是故意的。
     这个价格根本就卖不出去的车，发出来的作用是什么？是做假？还是想直接卖给投资人（业务做坏了，车分给你们）？又或者部分钱拿车，多出来的挪用？（金百利的系统是有提成的系统，其他家该系统商的系统是如此，金百利是不是例外就不得而知了）
    金百利这个平台有绿茶叶监管，绿茶叶自称有专业人员驻扎，不只有财务还有评估师，请问捷达这种常见车型，为什么评估师会看不出来价格有问题？是没有专业人士看不出来却对外称有（水平不够叫人忽悠了可以理解）？还是这个评估师实际就是平台找来让你上钩的？（要不你这评估师怎么混这行，准新车都能失误，二手车还不评估出离谱的价格）还是在这里面有什么利益？这价钱里面包括你的提成吗？(在绿茶叶群询问监管的内容，风控的手段，全部都是保密，无可奉告，然后就有人出来说群主为了大家很忙，没有空解释这么多，反正车在手里就好，别问那么多。)，
    笔者就此标发表的质疑也不针对谁，现在市场凶险建议大家谨慎，多观望，保住本金是关键。个人建议观察3-6个月再投资。之前嘉扬因为河北事件清盘了一次（那时候有河北平台和系统想套投资人钱，收了起点费没有套成功，发生平台和系统商纠纷，被投资人知晓，后大面积挤兑河北平台，事实证明这个和嘉杨没有关系）如果金百利可以学习嘉扬，这些自然烟消云散。"	1
车辆众筹皆不可信，建议远离	1
山东的，众筹的，都是值得怀疑的	1
"网利宝首页写是鸿利智汇入股，还有股票代码：
宣传.png (29.36 KB, 下载次数: 0)
下载附件  保存到相册
2016-12-30 10:10 上传

 
 
 而我查到的却是：股东为三个自然人：杨丽华，王超，杨华。这是把投资人当傻子骗呢？
 

图片.png (155.46 KB, 下载次数: 0)
下载附件  保存到相册
2016年12月30日启信宝查到信息
2016-12-30 10:08 上传"	1
等待官方解惑	0
这个网利宝在今年6月份还被工商管理局罚款10W呢	1
牛逼平台随便你怎么质疑，怎么黑，人家依然不怕	1
上市公司都发了公告的，你傻么？	
"因为宣传""100%本息保证""，这个不是大问题。"	0
"鸿利光电[-1.47% 资金 研报]（300219）5月4日晚间公告，公司计划以1000万美元在香港设立全资子公司香港鸿利投资有限公司，同时，香港鸿利以1000万元美元在英属维尔京群岛设立全资子公司HONGLITRONIC Corporation（简称"" BVI鸿利""），并由BVI鸿利以1000万美元向开曼网利增资，增资完成后BVI鸿利占开曼网利的股权比例为10%。"	
外资风投一般都是VIE架构。	
外资都是VIE  真是醉了	
大平台不怕黑，就像陆金所，怎么黑都没用！	
年底了跑路潮，说完就完，钱还是攥在手里靠谱	1
我回去查查	0
解释一下VIE架构，做个科普！	
哈哈哈哈哈哈哈	
图片。。。	
哪里会有保本保息的好事	1
陆金所1块撸100，有人做吗？	
高兴贷，就告诉大家吧，以后遇到这种不要脸皮乱起名字，狂立flag的平台，还是尽量走远点为好，和那个“靠谱投资”一个样，网站打不开，电话打不通了~	1
名不符实，实际一点好	1
笑着赚的名字就很实在！	0
最讨厌这种起名字不好好奇，就想着吸引眼球，捞一笔走人的平台了。。。最近又看到一家平台，名字居然叫“靠谱投资”，然而，现在网站打不开了。。。客服打不通了。。。一点都不靠谱！	1
德众金融属于国字品牌互联网金融，属于中介性质，投资人在平台上投资风险自担。	0
2017年开启银行存管新篇章，合规安全再上新台阶	0
德众开启既不还钱也不跑路平台新玩法，在这大面积逾期情况下，玩起来难度有点大，没关系，德众会充分发挥安徽人聪明才智。	
带有地域偏见的人是愚蠢的。	
拍拍贷不也是一样的么？别投就行了。。。。。。	1
拉入黑名单就行了	1
